date,P_mix,T_max,T_min,Q
1986-04-06,0.0,7.3,-4.3,1.7900676730869338
1986-04-07,4.8,7.1,1.7,2.586153045288912
1986-04-08,1.4,10.2,1.9,3.6880791254554914
1986-04-09,36.3,6.7,0.9,4.655075481520042
1986-04-10,6.8,0.3,-2.7,4.385216033315982
1986-04-11,4.0,-4.0,-6.3,3.013430504945341
1986-04-12,4.2,-6.4,-8.2,2.3162935970848517
1986-04-13,0.4,-2.3,-14.9,2.03968766267569
1986-04-14,0.0,2.5,-6.1,1.898011452368558
1986-04-15,0.0,5.3,-4.2,1.8417907339927122
1986-04-16,1.0,7.1,-2.9,1.666382092660073
1986-04-17,18.1,1.8,-1.8,1.8282977615825096
1986-04-18,10.4,0.3,-2.4,1.7878188443519
1986-04-19,8.6,0.2,-5.1,1.6348984903695991
1986-04-20,5.8,1.0,-5.1,1.5449453409682459
1986-04-21,0.8,8.5,-0.5,1.6124102030192609
1986-04-22,5.6,4.5,-0.5,2.1566267568974493
1986-04-23,1.8,4.0,-0.4,2.055429463820927
1986-04-24,11.5,3.5,-0.1,2.0441853201457576
1986-04-25,0.0,7.8,-1.8,2.698594482040604
1986-04-26,1.5,9.0,3.9,3.5306611140031237
1986-04-27,28.2,1.5,-0.5,3.553149401353462
1986-04-28,3.4,4.5,-2.0,3.0808953669963564
1986-04-29,3.3,5.5,0.5,2.766059344091619
1986-04-30,0.2,8.0,1.0,3.0359187922956794
1986-05-01,0.0,12.5,1.0,4.070380010411244
1986-05-02,0.0,14.0,3.5,5.532118688183238
1986-05-03,0.1,14.0,3.1,6.476626756897449
1986-05-04,0.1,10.3,2.5,6.566579906298802
1986-05-05,0.1,11.2,3.7,6.634044768349818
1986-05-06,0.0,14.8,2.5,6.971369078604893
1986-05-07,11.7,13.5,3.0,7.690994273815721
1986-05-08,0.0,8.5,-0.6,7.7359708485163985
1986-05-09,0.0,9.5,1.0,6.026861009890682
1986-05-10,0.0,15.3,2.4,5.6670484122852685
1986-05-11,2.2,14.7,5.0,6.634044768349818
1986-05-12,0.0,16.4,6.0,8.882873503383655
1986-05-13,0.0,17.6,6.5,9.894846434148882
1986-05-14,2.7,10.7,6.0,9.422592399791776
1986-05-15,2.7,11.2,4.0,8.050806871421134
1986-05-16,6.5,14.0,3.3,8.095783446121812
1986-05-17,0.0,17.0,5.5,11.581467985424258
1986-05-18,0.0,21.0,7.2,12.413534617386778
1986-05-19,4.0,20.0,8.2,14.077667881311818
1986-05-20,0.0,20.9,7.0,14.325039042165539
1986-05-21,20.8,12.9,9.1,14.414992191566892
1986-05-22,0.0,16.5,5.9,15.516918271733473
1986-05-23,11.4,19.0,7.0,13.155648099947944
1986-05-24,3.4,11.5,6.3,12.773347214992192
1986-05-25,0.0,17.5,2.8,10.636959916710047
1986-05-26,0.0,20.0,7.5,10.277147319104634
1986-05-27,11.9,17.9,7.0,11.064237376366476
1986-05-28,17.6,9.3,7.3,12.818323789692869
1986-05-29,34.6,2.5,-0.1,12.188651743883394
1986-05-30,11.4,3.0,-2.0,9.152732951587716
1986-05-31,0.0,2.6,-2.4,7.308693388859969
1986-06-01,0.7,7.5,-3.0,6.476626756897449
1986-06-02,21.3,8.0,2.0,6.7914627798021865
1986-06-03,0.3,12.2,0.5,9.580010411244144
1986-06-04,29.9,5.9,-0.5,8.882873503383655
1986-06-05,7.7,3.5,-1.6,7.421134825611661
1986-06-06,3.4,3.1,-2.0,6.071837584591359
1986-06-07,0.2,5.3,-1.8,5.1947943779281625
1986-06-08,0.0,11.1,1.3,4.947423217074441
1986-06-09,0.0,16.3,6.3,5.734513274336284
1986-06-10,3.0,18.9,5.3,6.926392503904217
1986-06-11,23.8,8.8,5.4,9.467568974492453
1986-06-12,2.7,3.0,0.0,8.725455491931287
1986-06-13,0.1,6.8,1.5,6.723997917751172
1986-06-14,0.0,14.0,3.5,7.623529411764706
1986-06-15,0.0,18.6,8.0,10.164705882352942
1986-06-16,2.9,20.0,9.5,10.61447162935971
1986-06-17,0.7,20.3,7.0,10.7269130661114
1986-06-18,0.7,19.4,7.4,10.254659031754294
1986-06-19,11.7,20.5,8.9,11.176678813118167
1986-06-20,1.5,20.0,7.0,12.391046330036438
1986-06-21,0.0,21.0,8.0,12.480999479437793
1986-06-22,1.0,23.6,9.0,12.863300364393547
1986-06-23,23.7,23.8,12.0,15.29203539823009
1986-06-24,0.0,16.5,9.3,18.86767308693389
1986-06-25,0.0,21.0,7.5,14.347527329515877
1986-06-26,0.0,23.0,8.3,13.380530973451329
1986-06-27,0.0,24.5,12.5,13.830296720458094
1986-06-28,0.0,24.0,11.2,13.89776158250911
1986-06-29,0.0,23.5,10.0,12.638417490890163
1986-06-30,0.0,20.3,8.5,11.918792295679333
1986-07-01,0.0,20.4,8.5,10.929307652264447
1986-07-02,0.0,21.5,12.8,10.457053617907341
1986-07-03,10.5,21.6,9.2,10.794377928162415
1986-07-04,0.0,19.1,8.0,10.7269130661114
1986-07-05,0.7,21.0,9.2,10.861842790213432
1986-07-06,33.7,13.5,8.0,14.909734513274337
1986-07-07,15.3,9.1,6.5,16.37147319104633
1986-07-08,0.3,8.7,3.8,9.737428422696512
1986-07-09,0.0,10.1,5.5,7.1512753774076
1986-07-10,0.0,13.5,3.4,6.521603331598126
1986-07-11,6.4,15.6,4.5,6.813951067152525
1986-07-12,4.7,12.0,6.5,8.095783446121812
1986-07-13,7.6,14.3,6.0,7.196251952108277
1986-07-14,0.0,14.2,5.7,6.836439354502863
1986-07-15,0.0,16.0,3.5,6.386673607496096
1986-07-16,0.0,20.0,6.0,6.948880791254555
1986-07-17,13.7,20.6,8.8,8.028318584070796
1986-07-18,33.4,11.5,8.9,10.29963560645497
1986-07-19,3.0,7.2,5.8,10.479541905257678
1986-07-20,0.0,12.0,3.5,8.073295158771474
1986-07-21,0.0,15.6,4.1,7.780947423217075
1986-07-22,0.0,20.3,7.0,8.230713170223842
1986-07-23,17.7,20.1,9.6,8.65799062988027
1986-07-24,7.9,10.8,5.0,11.0192608016658
1986-07-25,0.0,16.9,1.1,6.9938573659552326
1986-07-26,0.0,17.8,6.3,7.016345653305571
1986-07-27,0.4,20.2,7.3,7.7359708485163985
1986-07-28,2.0,22.0,9.4,8.725455491931287
1986-07-29,0.0,21.7,11.2,10.457053617907341
1986-07-30,0.0,22.4,11.7,10.547006767308694
1986-07-31,15.7,22.5,12.5,10.816866215512755
1986-08-01,0.0,19.3,9.0,11.918792295679333
1986-08-02,0.0,23.3,10.2,11.514003123373245
1986-08-03,0.0,25.6,12.3,12.998230088495575
1986-08-04,17.8,21.9,12.3,13.89776158250911
1986-08-05,0.0,13.3,10.7,13.447995835502343
1986-08-06,0.0,21.5,7.5,10.254659031754294
1986-08-07,0.0,20.5,9.5,10.007287870900573
1986-08-08,19.6,17.5,9.5,9.962311296199896
1986-08-09,8.4,20.4,7.5,9.692451847995835
1986-08-10,10.5,18.6,9.4,11.693909422175949
1986-08-11,14.6,20.3,10.0,11.761374284226966
1986-08-12,6.2,11.3,9.2,13.852785007808434
